Capacity,Occupancy,LastUpdated
577,406,2016-10-08 15:30:39
577,381,2016-10-08 16:04:39
577,365,2016-10-08 16:30:42
577,42,2016-10-09 08:04:40
577,42,2016-10-09 08:30:45
577,43,2016-10-09 09:04:46
577,43,2016-10-09 09:30:45
577,50,2016-10-09 09:57:41
577,64,2016-10-09 10:30:43
577,100,2016-10-09 11:04:44
577,126,2016-10-09 11:30:41
577,148,2016-10-09 11:57:46
577,170,2016-10-09 12:30:41
577,189,2016-10-09 13:04:43
577,205,2016-10-09 13:30:42
577,208,2016-10-09 14:03:42
577,209,2016-10-09 14:30:42
577,191,2016-10-09 15:04:44
577,180,2016-10-09 15:30:46
577,155,2016-10-09 16:03:43
577,133,2016-10-09 16:30:43
577,54,2016-10-10 08:04:47
577,56,2016-10-10 08:30:47
577,65,2016-10-10 09:04:47
577,73,2016-10-10 09:30:49
577,92,2016-10-10 10:03:48
577,113,2016-10-10 10:30:48
577,144,2016-10-10 10:57:52
577,149,2016-10-10 11:30:48
577,159,2016-10-10 11:57:49
577,171,2016-10-10 12:30:48
577,176,2016-10-10 13:04:49
577,172,2016-10-10 13:30:49
577,161,2016-10-10 14:03:49
577,154,2016-10-10 14:30:49
577,137,2016-10-10 14:57:54
577,129,2016-10-10 15:30:49
577,130,2016-10-10 15:57:55
577,114,2016-10-10 16:30:49
577,56,2016-10-11 08:04:57
577,64,2016-10-11 08:30:54
577,74,2016-10-11 08:57:56
577,93,2016-10-11 09:30:55
577,129,2016-10-11 09:57:59
577,167,2016-10-11 10:30:54
577,200,2016-10-11 10:57:55
577,219,2016-10-11 11:30:59
577,225,2016-10-11 12:03:55
577,221,2016-10-11 12:30:56
577,217,2016-10-11 13:04:00
577,217,2016-10-11 13:31:01
577,208,2016-10-11 14:04:00
577,191,2016-10-11 14:30:56
577,167,2016-10-11 15:03:58
577,159,2016-10-11 15:33:56
577,150,2016-10-11 16:01:00
577,127,2016-10-11 16:26:56
577,51,2016-10-12 08:04:00
577,57,2016-10-12 08:31:01
577,64,2016-10-12 09:03:59
577,73,2016-10-12 09:26:58
577,99,2016-10-12 10:01:04
577,112,2016-10-12 10:31:04
577,127,2016-10-12 11:04:01
577,128,2016-10-12 11:31:05
577,143,2016-10-12 12:04:04
577,158,2016-10-12 12:31:05
577,157,2016-10-12 13:04:04
577,164,2016-10-12 13:34:03
577,167,2016-10-12 14:03:59
577,159,2016-10-12 14:34:04
577,140,2016-10-12 15:01:03
577,128,2016-10-12 15:30:59
577,121,2016-10-12 15:57:05
577,111,2016-10-12 16:31:05
577,58,2016-10-13 07:57:02
577,65,2016-10-13 08:31:06
577,76,2016-10-13 09:04:02
577,97,2016-10-13 09:31:01
577,127,2016-10-13 09:57:08
577,166,2016-10-13 10:31:03
577,200,2016-10-13 11:04:08
577,220,2016-10-13 11:31:06
577,230,2016-10-13 11:57:06
577,231,2016-10-13 12:31:08
577,214,2016-10-13 13:04:04
577,203,2016-10-13 13:31:08
577,205,2016-10-13 13:57:07
577,181,2016-10-13 14:31:06
577,162,2016-10-13 15:04:08
577,144,2016-10-13 15:31:08
577,132,2016-10-13 16:04:08
577,130,2016-10-13 16:31:08
577,53,2016-10-14 08:01:05
577,57,2016-10-14 08:27:10
577,67,2016-10-14 09:01:08
577,100,2016-10-14 09:27:10
577,134,2016-10-14 10:01:11
577,157,2016-10-14 10:27:09
577,205,2016-10-14 11:01:07
577,220,2016-10-14 11:27:06
577,224,2016-10-14 12:01:11
577,213,2016-10-14 12:27:06
577,205,2016-10-14 13:01:11
577,201,2016-10-14 13:27:07
577,182,2016-10-14 14:01:11
577,174,2016-10-14 14:34:08
577,171,2016-10-14 15:01:12
577,161,2016-10-14 15:27:08
577,138,2016-10-14 16:01:11
577,134,2016-10-14 16:34:08
577,53,2016-10-15 08:01:11
577,63,2016-10-15 08:34:10
577,77,2016-10-15 09:01:09
577,101,2016-10-15 09:27:11
577,154,2016-10-15 10:01:12
577,171,2016-10-15 10:27:15
577,211,2016-10-15 11:01:14
577,239,2016-10-15 11:27:14
577,276,2016-10-15 12:01:12
577,297,2016-10-15 12:27:10
577,332,2016-10-15 13:01:14
577,352,2016-10-15 13:34:13
577,391,2016-10-15 14:01:13
577,409,2016-10-15 14:27:12
577,442,2016-10-15 15:01:13
577,428,2016-10-15 15:27:12
577,412,2016-10-15 16:01:15
577,393,2016-10-15 16:27:16
577,48,2016-10-16 08:04:13
577,48,2016-10-16 08:27:13
577,55,2016-10-16 09:01:15
577,57,2016-10-16 09:27:13
577,57,2016-10-16 10:04:13
577,56,2016-10-16 10:34:13
577,56,2016-10-16 11:01:13
577,56,2016-10-16 11:27:17
577,65,2016-10-16 12:01:16
577,105,2016-10-16 12:27:14
577,131,2016-10-16 13:01:16
577,146,2016-10-16 13:27:17
577,170,2016-10-16 14:01:18
577,180,2016-10-16 14:27:13
577,192,2016-10-16 15:01:18
577,185,2016-10-16 15:31:18
577,173,2016-10-16 15:57:16
577,154,2016-10-16 16:31:17
577,50,2016-10-17 08:01:16
577,54,2016-10-17 08:27:16
577,66,2016-10-17 09:01:17
577,76,2016-10-17 09:27:20
577,112,2016-10-17 10:04:20
577,119,2016-10-17 10:31:16
577,144,2016-10-17 11:04:20
577,153,2016-10-17 11:31:18
577,159,2016-10-17 12:04:19
577,154,2016-10-17 12:31:21
577,154,2016-10-17 12:57:17
577,157,2016-10-17 13:31:21
577,161,2016-10-17 14:04:21
577,147,2016-10-17 14:31:21
577,133,2016-10-17 14:57:18
577,121,2016-10-17 15:31:21
577,115,2016-10-17 15:57:17
577,110,2016-10-17 16:28:21
577,57,2016-10-18 08:01:23
577,60,2016-10-18 08:28:25
577,72,2016-10-18 09:01:23
577,91,2016-10-18 09:28:22
577,145,2016-10-18 10:01:25
577,178,2016-10-18 10:28:58
577,220,2016-10-18 11:01:57
577,228,2016-10-18 11:27:56
577,231,2016-10-18 12:01:59
577,224,2016-10-18 12:27:57
577,237,2016-10-18 13:01:56
577,227,2016-10-18 13:28:57
577,226,2016-10-18 13:54:59
577,200,2016-10-18 14:27:56
577,165,2016-10-18 15:01:58
577,157,2016-10-18 15:27:59
577,149,2016-10-18 15:55:00
577,124,2016-10-18 16:27:54
577,49,2016-10-19 08:05:03
577,51,2016-10-19 08:25:01
577,59,2016-10-19 08:58:05
577,76,2016-10-19 09:32:04
577,105,2016-10-19 09:58:04
577,135,2016-10-19 10:25:04
577,156,2016-10-19 10:59:00
577,177,2016-10-19 11:25:04
577,181,2016-10-19 11:59:05
577,171,2016-10-19 12:25:00
577,165,2016-10-19 12:58:01
577,167,2016-10-19 13:25:03
577,161,2016-10-19 13:58:02
577,156,2016-10-19 14:32:03
577,144,2016-10-19 14:58:03
577,127,2016-10-19 15:32:05
577,117,2016-10-19 15:59:01
577,110,2016-10-19 16:25:03
577,57,2016-10-22 07:59:45
577,59,2016-10-22 08:26:46
577,72,2016-10-22 08:59:44
577,93,2016-10-22 09:26:47
577,130,2016-10-22 09:59:44
577,156,2016-10-22 10:26:47
577,198,2016-10-22 10:59:47
577,239,2016-10-22 11:32:43
577,261,2016-10-22 11:59:46
577,324,2016-10-22 12:32:47
577,359,2016-10-22 12:59:47
577,380,2016-10-22 13:32:43
577,408,2016-10-22 13:59:48
577,430,2016-10-22 14:39:47
577,424,2016-10-22 14:59:48
577,403,2016-10-22 15:26:49
577,384,2016-10-22 15:59:47
577,340,2016-10-22 16:26:47
577,47,2016-10-23 07:59:48
577,48,2016-10-23 08:26:51
577,51,2016-10-23 08:59:50
577,50,2016-10-23 09:26:51
577,54,2016-10-23 09:59:52
577,60,2016-10-23 10:26:53
577,80,2016-10-23 10:59:53
577,107,2016-10-23 11:26:49
577,125,2016-10-23 11:59:50
577,144,2016-10-23 12:26:51
577,175,2016-10-23 13:06:52
577,192,2016-10-23 13:26:55
577,215,2016-10-23 13:59:53
577,226,2016-10-23 14:26:51
577,219,2016-10-23 14:59:53
577,215,2016-10-23 15:26:56
577,179,2016-10-23 15:59:54
577,150,2016-10-23 16:26:57
577,47,2016-10-24 07:56:56
577,55,2016-10-24 08:29:56
577,62,2016-10-24 09:03:01
577,73,2016-10-24 09:30:01
577,87,2016-10-24 09:55:57
577,114,2016-10-24 10:30:02
577,137,2016-10-24 11:03:03
577,155,2016-10-24 11:29:57
577,173,2016-10-24 12:02:57
577,191,2016-10-24 12:30:03
577,198,2016-10-24 12:56:58
577,208,2016-10-24 13:30:03
577,219,2016-10-24 13:56:01
577,215,2016-10-24 14:30:02
577,209,2016-10-24 14:56:02
577,209,2016-10-24 15:32:59
577,192,2016-10-24 16:00:04
577,175,2016-10-24 16:33:03
577,54,2016-10-25 08:00:03
577,55,2016-10-25 08:26:08
577,82,2016-10-25 09:00:03
577,95,2016-10-25 09:19:19
577,129,2016-10-25 09:56:19
577,173,2016-10-25 10:29:19
577,202,2016-10-25 10:56:23
577,249,2016-10-25 11:29:22
577,290,2016-10-25 12:02:23
577,303,2016-10-25 12:29:21
577,331,2016-10-25 13:03:20
577,345,2016-10-25 13:29:24
577,363,2016-10-25 13:56:21
577,365,2016-10-25 14:29:23
577,340,2016-10-25 15:02:24
577,302,2016-10-25 15:29:22
577,273,2016-10-25 15:56:25
577,226,2016-10-25 16:29:22
577,56,2016-10-26 07:59:26
577,63,2016-10-26 08:32:27
577,70,2016-10-26 08:59:29
577,87,2016-10-26 09:26:27
577,108,2016-10-26 09:59:25
577,125,2016-10-26 10:26:30
577,159,2016-10-26 10:59:30
577,182,2016-10-26 11:26:28
577,198,2016-10-26 11:59:29
577,205,2016-10-26 12:26:27
577,231,2016-10-26 12:59:31
577,244,2016-10-26 13:26:32
577,260,2016-10-26 13:59:26
577,267,2016-10-26 14:26:26
577,252,2016-10-26 14:59:30
577,238,2016-10-26 15:26:30
577,212,2016-10-26 15:59:32
577,180,2016-10-26 16:32:30
577,54,2016-10-27 07:59:33
577,60,2016-10-27 08:32:33
577,69,2016-10-27 08:59:33
577,90,2016-10-27 09:32:35
577,102,2016-10-27 09:59:37
577,117,2016-10-27 10:25:37
577,160,2016-10-27 10:59:38
577,189,2016-10-27 11:32:32
577,207,2016-10-27 11:59:38
577,222,2016-10-27 12:26:35
577,247,2016-10-27 12:59:36
577,271,2016-10-27 13:32:35
577,279,2016-10-27 13:59:37
577,280,2016-10-27 14:26:38
577,266,2016-10-27 14:59:37
577,263,2016-10-27 15:26:33
577,241,2016-10-27 15:59:38
577,225,2016-10-27 16:26:39
577,57,2016-10-28 08:16:41
577,57,2016-10-28 08:16:41
577,69,2016-10-28 08:56:40
577,99,2016-10-28 09:29:43
577,135,2016-10-28 10:02:44
577,171,2016-10-28 10:29:41
577,196,2016-10-28 10:56:43
577,230,2016-10-28 11:29:44
577,262,2016-10-28 12:02:44
577,269,2016-10-28 12:29:45
577,266,2016-10-28 13:02:43
577,275,2016-10-28 13:29:45
577,296,2016-10-28 14:02:39
577,290,2016-10-28 14:29:45
577,282,2016-10-28 15:02:43
577,269,2016-10-28 15:29:41
577,256,2016-10-28 16:02:40
577,220,2016-10-28 16:29:42
577,51,2016-10-29 07:59:48
577,56,2016-10-29 08:26:46
577,66,2016-10-29 08:59:48
577,91,2016-10-29 09:26:50
577,124,2016-10-29 09:59:51
577,164,2016-10-29 10:26:49
577,213,2016-10-29 10:59:46
577,267,2016-10-29 11:25:51
577,314,2016-10-29 12:06:51
577,339,2016-10-29 12:26:46
577,338,2016-10-29 12:59:51
577,368,2016-10-29 13:26:47
577,366,2016-10-29 13:59:51
577,374,2016-10-29 14:26:50
577,414,2016-10-29 14:59:51
577,417,2016-10-29 15:26:52
577,417,2016-10-29 15:59:51
577,369,2016-10-29 16:26:53
577,43,2016-10-30 07:59:55
577,43,2016-10-30 07:59:55
577,43,2016-10-30 07:59:55
577,44,2016-10-30 08:25:53
577,45,2016-10-30 08:59:52
577,44,2016-10-30 09:25:57
577,47,2016-10-30 09:59:52
577,61,2016-10-30 10:25:54
577,84,2016-10-30 10:59:56
577,107,2016-10-30 11:25:55
577,122,2016-10-30 11:59:58
577,142,2016-10-30 12:26:54
577,169,2016-10-30 13:06:59
577,177,2016-10-30 13:25:59
577,182,2016-10-30 13:59:59
577,183,2016-10-30 14:32:54
577,157,2016-10-30 15:00:00
577,147,2016-10-30 15:32:59
577,49,2016-10-31 08:00:03
577,58,2016-10-31 08:26:02
577,67,2016-10-31 09:00:00
577,92,2016-10-31 09:26:03
577,111,2016-10-31 10:00:05
577,129,2016-10-31 10:26:02
577,166,2016-10-31 11:00:02
577,178,2016-10-31 11:26:04
577,198,2016-10-31 12:00:04
577,199,2016-10-31 12:26:06
577,198,2016-10-31 13:00:06
577,201,2016-10-31 13:26:01
577,189,2016-10-31 13:59:47
577,185,2016-10-31 14:26:05
577,160,2016-10-31 15:00:03
577,141,2016-10-31 15:27:04
577,130,2016-10-31 16:00:07
577,121,2016-10-31 16:26:06
577,50,2016-11-01 08:06:07
577,54,2016-11-01 08:26:07
577,69,2016-11-01 09:00:08
577,91,2016-11-01 09:26:12
577,135,2016-11-01 10:00:08
577,163,2016-11-01 10:26:11
577,185,2016-11-01 11:00:09
577,207,2016-11-01 11:26:11
577,239,2016-11-01 12:00:08
577,244,2016-11-01 12:26:12
577,243,2016-11-01 13:00:12
577,241,2016-11-01 13:26:12
577,229,2016-11-01 14:00:09
577,199,2016-11-01 14:26:10
577,180,2016-11-01 15:00:12
577,167,2016-11-01 15:27:09
577,153,2016-11-01 16:00:09
577,133,2016-11-01 16:33:14
577,50,2016-11-02 07:56:18
577,52,2016-11-02 08:30:14
577,57,2016-11-02 08:56:14
577,81,2016-11-02 09:30:15
577,97,2016-11-02 09:56:15
577,125,2016-11-02 10:29:19
577,144,2016-11-02 10:56:16
577,167,2016-11-02 11:30:19
577,169,2016-11-02 11:56:19
577,184,2016-11-02 12:30:20
577,192,2016-11-02 13:03:20
577,188,2016-11-02 13:30:18
577,188,2016-11-02 14:03:20
577,171,2016-11-02 14:30:16
577,153,2016-11-02 14:56:19
577,130,2016-11-02 15:29:19
577,125,2016-11-02 16:03:20
577,115,2016-11-02 16:30:18
577,51,2016-11-03 08:00:22
577,56,2016-11-03 08:26:26
577,60,2016-11-03 09:00:22
577,80,2016-11-03 09:26:22
577,119,2016-11-03 10:00:22
577,138,2016-11-03 10:26:25
577,185,2016-11-03 11:00:24
577,195,2016-11-03 11:26:27
577,195,2016-11-03 12:00:26
577,191,2016-11-03 12:26:27
577,196,2016-11-03 12:59:26
577,191,2016-11-03 13:26:26
577,187,2016-11-03 13:59:26
577,177,2016-11-03 14:26:23
577,154,2016-11-03 15:00:23
577,142,2016-11-03 15:26:24
577,120,2016-11-03 16:03:28
577,108,2016-11-03 16:30:27
577,48,2016-11-04 08:00:29
577,56,2016-11-04 08:26:32
577,71,2016-11-04 08:59:32
577,97,2016-11-04 09:33:32
577,115,2016-11-04 10:00:29
577,135,2016-11-04 10:26:31
577,154,2016-11-04 11:00:33
577,179,2016-11-04 11:33:31
577,183,2016-11-04 12:00:31
577,182,2016-11-04 12:33:34
577,171,2016-11-04 13:00:30
577,173,2016-11-04 13:26:33
577,179,2016-11-04 13:59:31
577,167,2016-11-04 14:26:30
577,156,2016-11-04 15:00:30
577,145,2016-11-04 15:26:30
577,136,2016-11-04 16:00:33
577,119,2016-11-04 16:26:30
577,43,2016-11-05 08:00:35
577,48,2016-11-05 08:26:35
577,59,2016-11-05 08:59:37
577,90,2016-11-05 09:26:38
577,135,2016-11-05 09:59:37
577,181,2016-11-05 10:33:38
577,224,2016-11-05 10:59:39
577,243,2016-11-05 11:26:38
577,278,2016-11-05 12:06:39
577,288,2016-11-05 12:26:41
577,331,2016-11-05 13:00:37
577,351,2016-11-05 13:33:39
577,361,2016-11-05 13:59:41
577,346,2016-11-05 14:26:39
577,369,2016-11-05 15:00:40
577,390,2016-11-05 15:26:40
577,368,2016-11-05 16:00:41
577,340,2016-11-05 16:26:40
577,35,2016-11-06 08:00:42
577,35,2016-11-06 08:26:43
577,36,2016-11-06 09:00:42
577,39,2016-11-06 09:33:44
577,46,2016-11-06 10:00:43
577,53,2016-11-06 10:26:46
577,77,2016-11-06 10:59:45
577,96,2016-11-06 11:26:44
577,124,2016-11-06 11:59:43
577,153,2016-11-06 12:26:47
577,178,2016-11-06 13:06:45
577,188,2016-11-06 13:26:43
577,216,2016-11-06 13:59:46
577,225,2016-11-06 14:33:47
577,211,2016-11-06 15:00:47
577,188,2016-11-06 15:26:45
577,163,2016-11-06 15:59:48
577,130,2016-11-06 16:26:45
577,30,2016-11-07 08:00:52
577,38,2016-11-07 08:26:53
577,49,2016-11-07 08:59:50
577,61,2016-11-07 09:26:49
577,87,2016-11-07 09:59:50
577,110,2016-11-07 10:26:49
577,142,2016-11-07 10:59:51
577,157,2016-11-07 11:26:51
577,157,2016-11-07 11:59:51
577,160,2016-11-07 12:26:50
577,154,2016-11-07 12:59:53
577,161,2016-11-07 13:33:52
577,162,2016-11-07 13:59:54
577,156,2016-11-07 14:33:55
577,148,2016-11-07 15:00:51
577,124,2016-11-07 15:33:53
577,119,2016-11-07 16:00:51
577,118,2016-11-07 16:33:53
577,34,2016-11-08 07:59:58
577,36,2016-11-08 08:26:55
577,46,2016-11-08 08:59:56
577,68,2016-11-08 09:26:56
577,112,2016-11-08 09:59:56
577,150,2016-11-08 10:33:59
577,178,2016-11-08 11:00:00
577,196,2016-11-08 11:33:56
577,236,2016-11-08 11:59:58
577,250,2016-11-08 12:27:01
577,253,2016-11-08 13:00:00
577,237,2016-11-08 13:34:01
577,223,2016-11-08 14:00:59
577,196,2016-11-08 14:26:58
577,163,2016-11-08 15:00:02
577,144,2016-11-08 15:33:57
577,127,2016-11-08 16:01:02
577,106,2016-11-08 16:34:02
577,32,2016-11-09 08:00:02
577,37,2016-11-09 08:27:02
577,43,2016-11-09 09:00:07
577,61,2016-11-09 09:34:05
577,88,2016-11-09 10:00:05
577,107,2016-11-09 10:27:03
577,130,2016-11-09 11:00:04
577,151,2016-11-09 11:27:04
577,152,2016-11-09 12:00:06
577,160,2016-11-09 12:27:05
577,172,2016-11-09 13:00:08
577,172,2016-11-09 13:27:04
577,163,2016-11-09 14:00:04
577,152,2016-11-09 14:27:08
577,134,2016-11-09 15:00:06
577,124,2016-11-09 15:34:05
577,108,2016-11-09 16:00:09
577,94,2016-11-09 16:34:06
577,36,2016-11-10 08:00:12
577,41,2016-11-10 08:34:11
577,49,2016-11-10 09:00:09
577,65,2016-11-10 09:27:11
577,93,2016-11-10 10:00:12
577,126,2016-11-10 10:27:10
577,160,2016-11-10 11:00:12
577,186,2016-11-10 11:27:14
577,201,2016-11-10 12:00:10
577,208,2016-11-10 12:27:14
577,208,2016-11-10 13:00:13
577,200,2016-11-10 13:34:14
577,201,2016-11-10 14:00:15
577,190,2016-11-10 14:27:13
577,162,2016-11-10 15:00:13
577,153,2016-11-10 15:27:15
577,147,2016-11-10 16:00:15
577,136,2016-11-10 16:27:13
577,39,2016-11-11 08:00:17
577,42,2016-11-11 08:27:19
577,63,2016-11-11 09:00:19
577,82,2016-11-11 09:27:16
577,122,2016-11-11 10:00:16
577,147,2016-11-11 10:27:18
577,169,2016-11-11 11:00:18
577,191,2016-11-11 11:27:18
577,188,2016-11-11 12:00:21
577,178,2016-11-11 12:27:21
577,164,2016-11-11 13:00:19
577,166,2016-11-11 13:34:21
577,170,2016-11-11 14:00:21
577,161,2016-11-11 14:27:18
577,162,2016-11-11 15:00:21
577,142,2016-11-11 15:34:20
577,138,2016-11-11 16:00:21
577,124,2016-11-11 16:34:18
577,33,2016-11-12 08:00:26
577,37,2016-11-12 08:27:25
577,50,2016-11-12 09:00:26
577,73,2016-11-12 09:27:26
577,124,2016-11-12 10:00:25
577,159,2016-11-12 10:27:27
577,212,2016-11-12 11:00:27
577,251,2016-11-12 11:34:23
577,291,2016-11-12 12:00:27
577,306,2016-11-12 12:27:23
577,321,2016-11-12 13:00:28
577,341,2016-11-12 13:27:27
577,383,2016-11-12 14:00:26
577,416,2016-11-12 14:27:28
577,449,2016-11-12 15:00:28
577,442,2016-11-12 15:27:27
577,418,2016-11-12 16:00:24
577,356,2016-11-12 16:34:28
577,23,2016-11-13 08:00:29
577,24,2016-11-13 08:27:31
577,27,2016-11-13 09:00:32
577,28,2016-11-13 09:34:15
577,32,2016-11-13 10:00:31
577,46,2016-11-13 10:33:32
577,69,2016-11-13 11:00:32
577,95,2016-11-13 11:27:32
577,128,2016-11-13 12:00:34
577,154,2016-11-13 12:27:31
577,191,2016-11-13 13:07:31
577,204,2016-11-13 13:33:34
577,220,2016-11-13 14:00:35
577,233,2016-11-13 14:27:35
577,220,2016-11-13 15:00:35
577,205,2016-11-13 15:27:35
577,170,2016-11-13 16:00:32
577,133,2016-11-13 16:27:34
577,31,2016-11-14 08:00:37
577,36,2016-11-14 08:33:40
577,42,2016-11-14 09:00:38
577,61,2016-11-14 09:27:40
577,85,2016-11-14 10:00:37
577,99,2016-11-14 10:27:38
577,129,2016-11-14 11:00:39
577,135,2016-11-14 11:27:40
577,158,2016-11-14 12:00:37
577,154,2016-11-14 12:27:39
577,163,2016-11-14 13:00:38
577,152,2016-11-14 13:27:41
577,143,2016-11-14 14:00:38
577,126,2016-11-14 14:33:40
577,121,2016-11-14 15:00:38
577,113,2016-11-14 15:27:42
577,103,2016-11-14 16:00:39
577,89,2016-11-14 16:27:39
577,32,2016-11-15 07:57:43
577,38,2016-11-15 08:30:47
577,47,2016-11-15 08:57:45
577,79,2016-11-15 09:30:46
577,113,2016-11-15 09:57:44
577,171,2016-11-15 10:30:47
577,209,2016-11-15 11:03:48
577,226,2016-11-15 11:30:46
577,227,2016-11-15 11:57:47
577,222,2016-11-15 12:30:45
577,230,2016-11-15 12:57:48
577,233,2016-11-15 13:30:48
577,248,2016-11-15 14:03:46
577,216,2016-11-15 14:30:48
577,170,2016-11-15 15:03:48
577,158,2016-11-15 15:30:49
577,136,2016-11-15 15:57:49
577,114,2016-11-15 16:30:46
577,38,2016-11-16 08:00:51
577,40,2016-11-16 08:27:50
577,54,2016-11-16 09:00:51
577,64,2016-11-16 09:27:53
577,99,2016-11-16 10:00:54
577,129,2016-11-16 10:33:53
577,149,2016-11-16 11:00:51
577,163,2016-11-16 11:27:51
577,174,2016-11-16 12:00:54
577,172,2016-11-16 12:27:54
577,176,2016-11-16 13:00:54
577,187,2016-11-16 13:27:55
577,182,2016-11-16 14:00:55
577,181,2016-11-16 14:27:52
577,159,2016-11-16 15:00:55
577,145,2016-11-16 15:33:56
577,140,2016-11-16 16:00:57
577,125,2016-11-16 16:33:57
577,34,2016-11-17 08:04:02
577,38,2016-11-17 08:31:01
577,51,2016-11-17 09:03:57
577,69,2016-11-17 09:31:01
577,108,2016-11-17 09:57:02
577,146,2016-11-17 10:31:02
577,182,2016-11-17 11:04:02
577,186,2016-11-17 11:31:02
577,209,2016-11-17 12:04:02
577,210,2016-11-17 12:31:03
577,214,2016-11-17 13:04:03
577,212,2016-11-17 13:31:03
577,193,2016-11-17 14:04:03
577,175,2016-11-17 14:30:59
577,150,2016-11-17 14:58:03
577,136,2016-11-17 15:30:59
577,130,2016-11-17 15:58:03
577,114,2016-11-17 16:31:04
577,35,2016-11-18 08:01:05
577,35,2016-11-18 08:01:05
577,37,2016-11-18 08:27:05
577,73,2016-11-18 09:27:07
577,117,2016-11-18 10:01:06
577,157,2016-11-18 10:27:05
577,194,2016-11-18 11:01:06
577,197,2016-11-18 11:34:08
577,205,2016-11-18 12:01:06
577,193,2016-11-18 12:27:09
577,201,2016-11-18 13:01:10
577,217,2016-11-18 13:34:10
577,213,2016-11-18 14:01:10
577,196,2016-11-18 14:28:08
577,168,2016-11-18 15:01:07
577,164,2016-11-18 15:28:08
577,154,2016-11-18 16:01:10
577,140,2016-11-18 16:28:10
577,29,2016-11-19 07:57:12
577,34,2016-11-19 08:31:12
577,51,2016-11-19 08:57:12
577,102,2016-11-19 09:31:13
577,152,2016-11-19 10:04:14
577,196,2016-11-19 10:31:15
577,235,2016-11-19 10:58:15
577,269,2016-11-19 11:31:15
577,293,2016-11-19 12:04:16
577,340,2016-11-19 12:31:16
577,400,2016-11-19 13:04:16
577,429,2016-11-19 13:31:17
577,492,2016-11-19 14:04:17
577,473,2016-11-19 14:31:17
577,482,2016-11-19 15:04:16
577,489,2016-11-19 15:31:17
577,452,2016-11-19 16:04:17
577,431,2016-11-19 16:31:15
577,20,2016-11-20 08:01:19
577,22,2016-11-20 08:27:22
577,21,2016-11-20 09:01:19
577,24,2016-11-20 09:27:19
577,28,2016-11-20 10:01:20
577,44,2016-11-20 10:27:22
577,95,2016-11-20 11:01:22
577,128,2016-11-20 11:27:22
577,163,2016-11-20 12:01:20
577,194,2016-11-20 12:34:23
577,246,2016-11-20 13:07:23
